Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
Área 2,P5,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4M34 6M56
EC,,CIN0004,FUNDAMENTOS DE ÁLGEBRA LINEAR,Silvio Melo,3T23 6T23,E132
EC,,CIN0005,FUNDAMENTOS DE PROGRAMAÇÃO IMPERATIVA,Alexandre Cabral Mota,2T23 4T45,Grad05
EC,,CIN0006,LABORATÓRIO DE PROGRAMAÇÃO 2,Alexandre Cabral Mota,2T45,Grad05
EC,,CIN0007,SISTEMAS DIGITAIS,Abel Guilhermino da Silva Filho,3T45 5T23,D002
EC,,CIN0008,LABORATÓRIO DE SISTEMAS DIGITAIS,Abel Guilhermino da Silva Filho Victor Wanderley Costa de Medeiros,5T45,Lab Hardw
Área 2,S4,MA027,CALCULO DIFERENCIAL E INTEGRAL 2,Docente Externo,4T23 6T45
EC,,CIN0009,ALGORITMOS E ESTRUTURAS DE DADOS,Fernando Maciano de Paula Neto,3M34 5M56
EC,,CIN0010,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,Nivan Ferreira,3M56 5M34
EC,,CIN0011,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Edna Barros,3T23 5T45
EC,,CIN0012,LABORATÓRIO DE ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Edna Barros Victor Wanderley Costa de Medeiros,4T45
Área 2,P5,FI006,FISICA GERAL 1,Docente Externo,2M34 4M56
Área 2,T1,MA128,CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo,2M34 4M56
Área 2,T7,MA128,CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo,2M56 4M34
Área 2,S3,FI007,FISICA GERAL 2,Docente Externo,2T23 4T45
EC,,IF677,INFRA-ESTRUTURA DE SOFTWARE,Eduardo Tavares,3M34 5M56 3M2,D005
EC,,ET586,ESTATIST PROBABILIDADE COMPUTACAO,Jamilson Ramalho Dantas,3T45 5T23 5T1,D004
Área 2,Y6,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34 6M5
Área 2,Y7,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34 6M5
Área 2,Y8,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34 6M5
Área 2,Y9,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34 6M5
Área 2,T1T3T2T4,FI108,FISICA GERAL 3,Docente Externo,2M56 4M34
Área 2,T6T7T8,FI108,FISICA GERAL 3,Docente Externo,2M34 4M56
EC,,IF685,GERENCIAMENTO DADOS E INFORMACAO,Robson Fidalgo,2T45 4T45 2T1,E112
EC,,IF816,MET. NUMERICOS COMPUTACIONAIS,Stefan Blawid,3T23 5T45 3T1,D004
EC,,IF817,INTERFACE HARDWARE-SOFTWARE,Andson Balieiro,2T23 4T23 6T1,E112
